"Timestamp","During which time frame do you usually go to bed? (Attempt to fall asleep. No devices or interference.)"
"2021/10/20 12:58:14 PM MDT","9:00PM-9:29PM"
"2021/10/20 1:01:50 PM MDT","2:30AM-2:59AM"
"2021/10/20 1:02:50 PM MDT","10:30PM-10:59PM"
"2021/10/20 1:08:11 PM MDT","10:30PM-10:59PM"
"2021/10/20 1:17:36 PM MDT","1:00AM-1:29AM"
"2021/10/20 1:20:19 PM MDT","11:30PM-11:59PM"
"2021/10/20 1:23:30 PM MDT","11:00PM-11:29PM"
"2021/10/20 1:29:44 PM MDT","10:00PM-10:29PM"
"2021/10/20 1:30:04 PM MDT","12:30AM-12:59AM"
"2021/10/20 1:32:38 PM MDT","11:30PM-11:59PM"
"2021/10/20 1:33:13 PM MDT","10:00PM-10:29PM"
"2021/10/20 1:35:09 PM MDT","10:00PM-10:29PM"
"2021/10/20 1:38:42 PM MDT","10:00PM-10:29PM"
"2021/10/20 1:47:27 PM MDT","12:00AM-12:29AM"
"2021/10/20 1:51:50 PM MDT","11:30PM-11:59PM"
"2021/10/20 1:52:06 PM MDT","9:30PM-9:59PM"
"2021/10/20 1:54:03 PM MDT","11:00PM-11:29PM"
"2021/10/20 1:55:44 PM MDT","11:00PM-11:29PM"
"2021/10/20 2:01:07 PM MDT","1:00AM-1:29AM"
"2021/10/20 2:04:26 PM MDT","1:30AM-1:59AM"
"2021/10/20 2:11:03 PM MDT","9:30PM-9:59PM"
"2021/10/20 2:15:33 PM MDT","11:00PM-11:29PM"
"2021/10/20 2:20:56 PM MDT","1:00AM-1:29AM"
"2021/10/20 2:27:53 PM MDT","11:30PM-11:59PM"
"2021/10/20 2:28:47 PM MDT","10:30PM-10:59PM"
"2021/10/20 2:34:22 PM MDT","12:30AM-12:59AM"
"2021/10/20 2:35:28 PM MDT","10:00PM-10:29PM"
"2021/10/20 2:39:04 PM MDT","11:00PM-11:29PM"
"2021/10/20 2:49:03 PM MDT","2:30AM-2:59AM"
"2021/10/20 2:50:45 PM MDT","11:30PM-11:59PM"
"2021/10/20 2:54:57 PM MDT","11:00PM-11:29PM"
"2021/10/20 2:59:04 PM MDT","10:30PM-10:59PM"
"2021/10/20 2:59:09 PM MDT","11:00PM-11:29PM"
"2021/10/20 3:01:09 PM MDT","2:30AM-2:59AM"
"2021/10/20 3:02:43 PM MDT","2:00AM-2:29AM"
"2021/10/20 3:09:36 PM MDT","10:00PM-10:29PM"
"2021/10/20 3:11:33 PM MDT","10:30PM-10:59PM"
"2021/10/20 3:14:31 PM MDT","10:30PM-10:59PM"
"2021/10/20 3:19:55 PM MDT","11:00PM-11:29PM"
"2021/10/20 3:20:42 PM MDT","2:00AM-2:29AM"
"2021/10/20 3:28:50 PM MDT","2:00AM-2:29AM"
"2021/10/20 3:32:30 PM MDT","12:00AM-12:29AM"
"2021/10/20 3:34:59 PM MDT","3:00AM-3:29AM"
"2021/10/20 3:35:11 PM MDT","11:30PM-11:59PM"
"2021/10/20 3:35:12 PM MDT","2:00AM-2:29AM"
"2021/10/20 3:40:20 PM MDT","12:00AM-12:29AM"
"2021/10/20 3:44:22 PM MDT","11:30PM-11:59PM"
"2021/10/20 4:02:00 PM MDT","3:00AM-3:29AM"
"2021/10/20 4:05:36 PM MDT","11:00PM-11:29PM"
"2021/10/20 4:25:22 PM MDT","1:30AM-1:59AM"
"2021/10/20 4:25:55 PM MDT","1:00AM-1:29AM"
"2021/10/20 4:26:39 PM MDT","10:00PM-10:29PM"
